,Tm,SMILES
0,-181.14999999999998,c1ccnc(c1)Cc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-]
1,-227.14999999999998,c1ccc(c(c1)N)N2CCCCC2
2,-240.14999999999998,c1cnc(nc1)N2CCNCC2
3,-148.14999999999998,c1ccc(c(c1)N2CCNCC2)O
4,-328.15,C1CCC(=CC1)CCN
5,-178.14999999999998,CC(C)(C)OC(=O)N1CCC(CC1)OCC(=O)NC
6,-187.14999999999998,CC(C)(C)OC(=O)N1CCC(CC1)OCC(=O)NC2CC2
7,-215.14999999999998,CC(C)(C)OC(=O)N1CCC(CC1)OCC(=O)N(C)C
8,-342.15,CC#C[Si](C)(C)C
9,-266.15,c1ccc2c(c1)CCCC2=O
10,-146.14999999999998,c1cc2ccc3ccc(c4c3c2c(c1)cc4)C=O
11,-400.15,CCCO
12,-186.14999999999998,c1ccc(cc1)C2(CC2)C(=O)O
13,-213.14999999999998,c1ccc(cc1)C2(CCCCC2)O
14,-151.14999999999998,c1ccc(cc1)N2CCC(=O)N2
15,-207.14999999999998,c1ccc(cc1)N2CCCC2=O
16,-206.14999999999998,c1ccc(cc1)C(CO)O
17,-379.15,CCCC#C
18,-227.14999999999998,CCCCCCCCCCCCCCCO
19,-274.15,CCCCCCCCN
20,-375.15,CCCCCCC=C
21,-322.15,CCCCCCCCS
22,-259.15,CCCCCCCCS(=O)(=O)Cl
23,-274.15,CCCCCCCCCN
24,-381.15,CCC[N+](=O)[O-]
25,-287.15,CCCc1ccc(cc1)[N+](=O)[O-]
26,-258.15,c1cc(ccc1[N+](=O)[O-])OC(F)(F)F
27,-231.14999999999998,CCCCCCc1ccc(cc1)C#Cc2ccc(cc2)C
28,-232.14999999999998,CCCCc1ccc(cc1)C#Cc2ccc(cc2)CCCC
29,-143.14999999999998,c1ccc2c(c1)cccc2CC(=O)O
30,-269.15,c1ccc2c(c1)cccc2N=C=O
31,-177.14999999999998,c1ccc2c(c1)cccc2O
32,-106.14999999999998,c1ccc2c(c1)cccc2C(=O)NN
33,-271.15,c1ccc2c(c1)cccc2C=O
34,-136.14999999999998,CS(=O)(=O)c1ccc(cc1)[N+](=O)[O-]
35,-136.14999999999998,Cn1cccc1C(=O)O
36,-323.15,CN1CCCCC1
37,-142.14999999999998,CN1c2ccccc2C(=O)C1=O
38,-263.15,Cc1c2ccccc2ccn1
39,-159.14999999999998,CC(C(=O)O)Oc1ccc(cc1Cl)Cl
40,-95.14999999999998,CC(C(=O)O)Oc1cc(c(cc1Cl)Cl)Cl
41,-3.1499999999999773,B(c1ccccc1NC(=O)C(C)(C)C)(O)O
42,-169.14999999999998,c1ccc(c(c1)C(=O)O)n2cccc2
43,-162.14999999999998,c1ccc(c(c1)N2CCCC2)O
44,-224.14999999999998,c1c(sc(n1)N2CCCCC2)C=O
45,-198.14999999999998,c1ccc(c(c1)N2CCCCC2)O
46,-230.14999999999998,c1ccc(c(c1)C#N)N2CCCCC2
47,-158.14999999999998,c1ccc(c(c1)N)N2CCNCC2
48,-211.14999999999998,c1ccc2c(c1)cccc2CCO
49,-151.14999999999998,c1cc2c(cc1C3CNCCN3)OCO2
50,-298.15,CCCCCCCCCC#C
51,-322.15,CCCCCCCCCC=C
52,-259.15,CCCCCCCCCCCO
53,-51.14999999999998,c1ccc(cc1)C(c2ccccc2)(c3ccccc3)n4ccnc4
54,-185.14999999999998,C1CC1(C(=O)O)C(F)(F)F
55,-296.15,CCCCCCCCCCCC=C
56,-157.14999999999998,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)S)OC(=O)C)OC(=O)C)OC(=O)C
57,-285.15,CCCCCCCCCCCCC=C
58,-234.14999999999998,CCCCCCCCCCCCCCO
59,-266.15,CCCCCCCCCCCCCCS
60,-136.14999999999998,CC(C)(C)N1CCNC1=O
61,-88.14999999999998,c1cc2ccc3ccc(c4c3c2c(c1)cc4)CCCC(=O)O
62,-356.15,CCCN
63,-386.15,CCCS
64,-230.14999999999998,c1cc2c(cc1CN3CCNCC3)OCO2
65,-101.14999999999998,c1ccc(cc1)NNC(=O)N
66,-214.14999999999998,c1ccc(cc1)n2cccc2
67,-255.14999999999998,c1ccc(cc1)N2CCNCC2
68,-132.14999999999998,c1ccc(cc1)N2c3ccccc3C(=O)C2=O
69,-260.15,c1ccc(cc1)n2ccnc2
70,-113.14999999999998,c1ccc(cc1)C2(CCCC2)C(=O)O
71,-284.15,c1ccc(cc1)C2=CCCCC2
72,-80.14999999999998,c1ccc(cc1)N2C(=O)CC(=N2)C(F)(F)F
73,-245.14999999999998,C#CC(c1ccccc1)O
74,-144.14999999999998,CC(=O)C(=NO)C(=O)c1ccccc1
75,-328.15,CCCCCN
76,-193.14999999999998,B(C=CCCC)(O)O
77,-411.15,CCCC=C
78,-352.15,CCCCCO
79,-349.15,CCCCCS
80,-263.15,CCCCCCCCCCCCCC#C
81,-277.15,CCCCCCCCCCCCCC=C
82,-333.15,CCCCCCC#C
83,-322.15,CCCCCC(C=C)O
84,-289.15,CCCCCCCCO
85,-257.15,CCCCCCCCCCCCCCCCC=C
86,-215.14999999999998,CCCCCCCCCCCCCCCCCCO
87,-241.14999999999998,CCCCCCCCCCCCCCCCCCS
88,-215.14999999999998,CCCCCCCCCCCCCCCCCCS(=O)(=O)Cl
89,-144.14999999999998,CC(=O)O[C@@H]1[C@H]([C@H]([C@@H](O1)COC(=O)c2ccccc2)OC(=O)c3ccccc3)OC(=O)c4ccccc4
90,-323.15,CCCCCCCC#C
91,-280.15,CCCCCCCCCO
92,-216.14999999999998,c1ccc2c(c1)cccc2[N+](=O)[O-]
93,-192.14999999999998,CCCCCCn1c(=O)c2c(ncn2C)n(c1=O)C
94,-233.14999999999998,CCCCc1ccc(cc1)C#Cc2ccc(cc2)OC
95,-219.14999999999998,CCCCc1ccc(cc1)C#Cc2ccc(cc2)OCC
96,-239.14999999999998,c1ccc2c(c1)cccc2CC#N
97,-96.14999999999998,c1ccc2c(c1)cccc2CC(=O)N
98,-217.14999999999998,c1ccc2c(c1)cccc2N=C=S
99,-228.14999999999998,CC(=O)Oc1cccc2c1cccc2
100,-255.14999999999998,c1ccc2c(c1)cccc2C(=O)Cl
101,-112.14999999999998,c1ccc2c(c1)cccc2C(=O)O
102,-212.14999999999998,c1ccc2c(c1)cccc2CO
103,-66.14999999999998,B(c1cccc2c1cccc2)(O)O
104,-105.14999999999998,c1ccc2c(c1)cccc2CC(=O)NN
105,-160.14999999999998,CN/C(=C[N+](=O)[O-])/SC
106,-163.14999999999998,CS(=O)(=O)n1c2ccccc2nn1
107,-363.15,CN1CCCC1
108,-330.15,Cn1cccc1
109,-279.15,CN1CCNCC1
110,-295.15,Cc1cccc2c1cccc2
111,-204.14999999999998,Cn1cc(c2c1cccc2)C=O
112,-218.14999999999998,Cn1cncc1C=O
113,-31.149999999999977,Cn1cc(nc1)C(=O)O
114,-188.14999999999998,Cn1cnc(c1C#N)C#N
115,-279.15,Cn1ccnc1
116,-115.14999999999998,CN1CC(=O)NC1=O
117,-188.14999999999998,Cc1cccc-2c1Cc3c2cccc3
118,-415.15,CC1=CCCC1
119,-236.14999999999998,CC1(CCCC1)O
120,-247.14999999999998,CC1(CCCCC1)O
121,-235.14999999999998,CC1(CCCCC1)C(=O)O
122,-153.14999999999998,Cn1c2ccccc2nc1C=O
123,-212.14999999999998,Cn1cnc2c1cccc2
124,-147.14999999999998,Cn1c2cc(ccc2cn1)[N+](=O)[O-]
125,-113.14999999999998,Cn1c2ccc(cc2cn1)[N+](=O)[O-]
126,-218.14999999999998,CN1CCN(CC1)C2CCNCC2
127,-94.14999999999998,CN1C(=O)CC(=N1)C(F)(F)F
128,-215.14999999999998,CN1CCNC(C1)c2ccccc2
129,-158.14999999999998,CCCC1=NN(C(=O)C1)C
130,-198.14999999999998,Cn1c2ccccc2ccc1=O
131,-297.15,CN1CCCC1=O
132,-242.14999999999998,Cn1ccccc1=O
133,-174.14999999999998,Cn1c2ccccc2cc1c3ccccc3
134,-49.14999999999998,Cn1c(ccn1)C(=O)O
135,-119.14999999999998,Cn1ccc(n1)C(=O)O
136,-208.14999999999998,Cn1c2ccccc2nn1
137,-268.15,COc1cccc2c1cccc2
138,-373.15,CC(COC)O
139,-374.15,CCCI
140,-359.15,CCCCCI
141,-319.15,CCCCCCCCI
142,-269.15,c1ccc2c(c1)cccc2I
143,-348.15,CCCCCCI
144,-251.14999999999998,CCCCCCCCCCCCCCCCI
145,-321.15,CCCCCCCI
146,-276.15,CCCCCCCCCCCCI
147,-289.15,CCCCCCCCCCI
148,-376.15,CCCCI
149,-98.14999999999998,c1cc(ccc1[N+](=O)[O-])I
150,-236.14999999999998,c1cc(cc(c1)I)[N+](=O)[O-]
151,-172.14999999999998,c1c(cc(cc1[N+](=O)[O-])I)[N+](=O)[O-]
152,-223.14999999999998,c1ccc(c(c1)[N+](=O)[O-])I
153,-366.15,CC(C)CI
154,-184.14999999999998,c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])I
155,-242.14999999999998,Cc1cc(c(c(c1C)C)C)I
156,-233.14999999999998,c1ccc2c(c1)CCC2=O
157,-221.14999999999998,c1ccc2c(c1)CCC2O
158,-168.14999999999998,CC1(C(=O)NC(=O)N1CO)C
159,-59.14999999999998,c1ccc2c(c1)ccnc2O
